longitude,latitude,examined,positive,prev,alt,temp,prec,hum,dist_aqua
35.0422,-22.7924,7,2,0.285714286,106,30.13210297,71.73332977,77.34166718,31.49799919
35.0746,-17.4417,17,0,0,49,33.55524826,69.23332977,71.96666718,0.583999991
35.0798,-24.472,9,6,0.666666667,46,29.67378807,79.07499695,77.14167023,0.370999992
35.0833,-20.9833,24,18,0.75,4,29.24941826,81.69166565,77.97499847,0.903999984
35.0877,-22.8267,50,15,0.3,93,30.04789925,71.73332977,77.34166718,29.12999916
35.119,-22.2919,10,2,0.2,43,29.90217209,64.83333588,77.80833435,4.288000107
35.1369,-24.2543,49,19,0.387755102,82,29.23376656,74.93333435,76.97499847,1.394000053
35.1395,-24.0445,11,11,1,78,30.07752991,70.875,76.81666565,1.315000057
35.15,-23.8834,4,1,0.25,114,30.15561676,70.44999695,76.6333313,8.194999695
35.1575,-17.157,9,3,0.333333333,119,32.82753372,78.44999695,71.6333313,8.621999741
35.2005,-21.5327,9,5,0.555555556,3,29.36491776,70.2583313,78.27500153,0.259000003
35.2174,-13.4159,10,1,0.1,1187,25.05461121,95.58333588,71.44166565,14.01099968
35.2224,-17.4892,9,3,0.333333333,36,33.79779434,70.05833435,72.56666565,3.239000082
35.2341,-23.681,12,2,0.166666667,63,30.14074326,75.91666412,76.75,8.368000031
35.2396,-13.2864,14,2,0.142857143,1360,24.83145332,97.59999847,72.19166565,7.236999989
35.2447,-13.3112,9,2,0.222222222,1356,24.83539391,97.59999847,72.19166565,6.138999939
35.2478,-13.3121,11,1,0.090909091,1356,24.83539391,97.59999847,72.19166565,5.867000103
35.258,-13.3276,8,1,0.125,1385,24.65684509,97.59999847,72.19166565,4.823999882
35.2583,-13.293,8,1,0.125,1344,24.65684509,97.59999847,72.19166565,5.118999958
35.2596,-23.1875,64,19,0.296875,80,30.07629776,85.29166412,77.05000305,9.427000046
35.2652,-13.6183,85,30,0.352941176,1200,25.53629875,93.79166412,70.52500153,25.85700035
35.2691,-13.3424,11,1,0.090909091,1371,24.74438667,95.58333588,71.44166565,4.368000031
35.3044,-13.331,17,14,0.823529412,1349,24.70405197,97.59999847,72.19166565,1.024000049
35.3124,-23.3832,49,14,0.285714286,86,29.90966034,84.47499847,76.90000153,5.886000156
35.3137,-21.9922,12,0,0,18,29.40439606,65.21666718,78.30833435,1.133000016
35.3169,-24.1076,91,26,0.285714286,42,29.78058434,74.58333588,76.92500305,7.360000134
35.3178,-16.2142,58,11,0.189655172,415,29.49742508,108.4250031,71.52500153,1.054999948
35.3295,-24.1061,111,38,0.342342342,43,29.78058434,74.58333588,76.92500305,6.126999855
35.3361,-23.6601,7,3,0.428571429,51,29.82805061,84.78333282,76.96666718,2.010999918
35.3402,-23.8645,2,0,0,38,29.74901199,78.54166412,76.92500305,0.879999995
35.3415,-13.0282,9,5,0.555555556,1070,26.72899246,103.8416672,71.66666412,21.92700005
35.3422,-23.8711,11,8,0.727272727,14,29.74901199,78.54166412,76.92500305,0.203999996
35.3442,-23.836,15,9,0.6,25,29.74901199,78.54166412,76.92500305,0.518000007
35.3445,-23.8439,10,3,0.3,23,29.74901199,78.54166412,76.92500305,0.351999998
35.3459,-23.8653,18,1,0.055555556,20,29.74901199,78.54166412,76.92500305,0.386999995
35.3462,-23.6519,1,1,1,39,29.82805061,84.78333282,76.96666718,1.036999941
35.3472,-17.8297,19,4,0.210526316,37,33.22424316,81.77500153,74.1166687,1.577000022
35.3636,-16.68,9,5,0.555555556,65,32.51101685,73.54166412,71.20833588,6.951000214
35.3832,-24.2332,36,10,0.277777778,49,29.60306358,81.42500305,77.14167023,2.467999935
35.3868,-23.8787,14,3,0.214285714,14,29.44397545,78.54166412,76.92500305,0.73299998
35.3906,-23.8713,10,1,0.1,10,29.43360901,78.54166412,76.92500305,0.470999986
35.3953,-23.8784,5,0,0,10,29.44397545,78.54166412,76.92500305,1.139999986
35.4042,-23.717,1871,705,0.376803848,9,29.43865204,80.59166718,76.92500305,0.848999977
35.4056,-24.2317,16,5,0.3125,58,29.60306358,81.42500305,77.14167023,0.270000011
35.4123,-13.4442,13,6,0.461538462,1095,26.31790733,96.29166412,70.96666718,18.04800034
35.4513,-16.2111,70,14,0.2,561,28.92621231,120.7166672,72.26667023,8.170000076
35.4522,-13.5272,98,34,0.346938776,978,26.75549126,93.92500305,70.08333588,17.60099983
35.4602,-23.2342,78,24,0.307692308,101,29.6310482,91.5,77.23332977,3.075000048
35.4761,-24.05,29,14,0.482758621,39,29.69237518,78.93333435,77.04166412,1.779000044
35.4893,-16.4279,41,9,0.219512195,372,29.45676422,98.72499847,71.70833588,21.98900032
35.5302,-16.2429,57,10,0.175438596,659,28.30262566,130.5583344,73.42500305,8.888999939
35.5352,-13.3116,87,36,0.413793103,1207,25.74274826,99.39167023,71.125,24.37800026
35.6167,-18.05,94,45,0.478723404,28,32.4749527,91.7416687,75.43333435,2.15199995
35.6502,-13.1077,8,3,0.375,1109,26.20689201,102.7249985,71.45833588,30.87700081
35.6542,-14.3528,14,6,0.428571429,759,28.89232063,84.84999847,67.5,11.91399956
35.6822,-17.507,8,8,1,300,31.29494667,79.9916687,74.94999695,35.8370018
35.7098,-14.3293,4,0,0,741,29.06911659,84.46666718,67.03333282,13.90799999
35.7573,-14.3176,8,3,0.375,711,29.24637604,84.46666718,67.03333282,12.99600029
35.7574,-16.1092,104,21,0.201923077,677,28.21679688,142.2333374,73.90833282,7.784999847
35.7617,-16.0922,7,7,1,669,28.21679688,142.2333374,73.90833282,8.970999718
35.7756,-16.0997,18,5,0.277777778,730,28.21679688,142.2333374,73.90833282,7.487999916
35.7924,-16.4786,60,11,0.183333333,461,29.96958542,119.5666656,73.90833282,35.38000107
35.7934,-16.2084,38,7,0.184210526,690,29.0377636,128.2583313,73.76667023,5.5
35.8743,-15.1958,16,0,0,647,29.01167297,109.0500031,68.26667023,4.801000118
35.8758,-15.9942,87,13,0.149425287,638,29.52839661,134.6999969,72.33333588,6.868999958
35.8794,-15.2576,12,5,0.416666667,657,29.64694405,109.0500031,68.26667023,6.013999939
35.8988,-18.2748,91,41,0.450549451,11,33.12586975,94.96666718,76.67500305,0.95599997
35.9279,-14.142,4,2,0.5,681,29.61478806,85.94166565,66.94166565,5.589000225
35.9348,-14.6679,13,4,0.307692308,642,29.6963501,88.42500305,66.43333435,5.467000008
35.9453,-18.2908,108,57,0.527777778,12,32.97108078,94.96666718,76.67500305,0.533999979
36.0167,-15.7739,49,8,0.163265306,742,28.68995667,133.0666656,71.59999847,13.98200035
36.0427,-16.4404,17,12,0.705882353,464,30.42341995,111.5083313,73.57499695,31.90999985
36.1455,-12.3216,15,2,0.133333333,691,28.80087662,106.4333344,71.34166718,25.68300056
36.1689,-15.3075,79,28,0.35443038,766,29.51408005,111.8166656,68.66666412,33.41899872
36.1741,-13.4345,11,5,0.454545455,634,29.72065735,95.1166687,68.19999695,0.845000029
36.307,-15.4871,71,12,0.169014085,808,29.02150154,118.3416672,69.44166565,29.41500092
36.3903,-15.1497,121,59,0.487603306,690,30.12721443,97.18333435,66.83333588,40.36100006
36.4109,-18.6272,10,2,0.2,10,30.90205956,100.1333313,78.35832977,1.911000013
